UID,MaritalStatus,CreditScore,AnnualIncome,NetWorth,EmploymentStatus,RiskScore,AgeGroup,PhoneNumber,Email
LEAD_c211c6f0018a4bb3a53ddd405b9443dc,Married,617,39948,126928,Employed,49.0,36-50,'+91-7337476692',c211c6@example.com
LEAD_ae8d5b9b08a449e7a5e034783314e579,Single,628,39709,43609,Employed,52.0,36-50,'+91-1438082339',ae8d5b@testmail.in
LEAD_be0d253247744a808bd3817172cae18d,Married,570,40724,5205,Employed,52.0,36-50,'+91-2708904921',be0d25@testmail.in
LEAD_5c58bb034a9d46bdb9fc68e81927ec9f,Single,545,69084,99452,Employed,54.0,51+,'+91-2638463449',5c58bb@example.com
LEAD_0cb30a9a0b304fd19cd6edcbb3551ba0,Married,594,103264,227019,Employed,36.0,36-50,'+91-8676078414',0cb30a@testmail.in
LEAD_9eff733207c44a309fed033d306d769a,Married,626,178310,27071,Self-Employed,44.0,36-50,'+91-7310426370',9eff73@example.com
LEAD_4aebf67188e14fb1a257856f4d70a4e0,Married,564,51250,21730,Employed,50.0,51+,'+91-9891605562',4aebf6@testmail.in
LEAD_4d763746da554333968e272d7838e51b,Divorced,516,97345,38621,Employed,42.4,36-50,'+91-4953230645',4d7637@example.com
LEAD_600a764eb2b04a9bbe122eea2e4e0885,Divorced,603,116841,7711,Employed,61.0,26-35,'+91-3335701336',600a76@testmail.in
LEAD_6df921ad570748ec984f7294c69e2b47,Married,612,40615,116812,Employed,53.0,36-50,'+91-5902751219',6df921@mail.com
LEAD_3b11c3b1156845ceb8ae8672aaf0459b,Single,478,73646,128651,Employed,47.0,26-35,'+91-5214434371',3b11c3@mail.com
LEAD_a80e178730364c6cbef2bdc6ef0316d4,Married,591,15000,29709,Employed,56.0,26-35,'+91-8420823437',a80e17@mail.com
LEAD_e64569e9fd9a4fd59984f456526453e6,Married,573,74453,5231,Employed,56.0,36-50,'+91-6968218726',e64569@example.com
LEAD_cef232e973d045ed91c1ff19a3b92f44,Married,580,100508,82783,Employed,63.0,18-25,'+91-7464731032',cef232@mail.com
